Icon|Name|Type|Quote|Effect
Hot Lead.png|Hot Lead|Passive|Chance To Ignite|Adds a chance to fire bullets that ignite enemies.
Frost Bullets.png|Frost Bullets|Passive|Icy Fire|Adds a chance to fire bullets that freeze enemies.
Fat Bullets.png|Fat Bullets|Passive|Fatter = Stronger|Significantly increases bullet size but slightly decreases maximum ammo.
Angry Bullets.png|Angry Bullets|Passive|Hungry For More|Hitting an enemy has a chance to refire the projectile at nearby enemies.
Battery Bullets.png|Battery Bullets|Passive|Zap!|"Causes water that bullets pass over to become electrified, damaging enemies."
Homing Bullets.png|Homing Bullets|Passive|Fire And Forget|Bullets home in on enemies.
Shadow Bullets.png|Shadow Bullets|Passive|Double Tap|Firing a weapon has a chance to fire an additional projectile.
Easy Reload Bullets.png|Easy Reload Bullets|Passive|Rolling Reload|Dodge rolling reloads one bullet.
Bionic Leg.png|Bionic Leg|Passive|More Machine Than Man|Increases movement speed and grants a piece of armor.
Shotgun Coffee.png|Shotgun Coffee|Passive|Speed Up|Increases movement speed.
Shotga Cola.png|Shotga Cola|Passive|Speed Up|Increases movement speed.
Ballistic Boots.png|Ballistic Boots|Passive|Speedier Than A Bullet|Increases movement speed.
Magic Sweet.png|Magic Sweet|Passive|Free Stats|"Increases health, movement speed, and damage."
Disarming Personality.png|Disarming Personality|Passive|For You?|Decreases shop prices.
Mustache.png|Mustache|Passive|A Familiar Face|Has a chance to heal the player upon purchasing an item.
Lichy Trigger Finger.png|Lichy Trigger Finger|Passive|Rate of Fire Up|Increases rate of fire.
Enraging Photo.png|Enraging Photo|Passive|Don't Believe His Lies|Taking damage makes the player briefly deal extra damage.
Ballot.png|Ballot|Passive|Vote Of Confidence!|"Increases the player's coolness, which decreases the cooldown of active items and increases luck."
Live Ammo.png|Live Ammo|Passive|I'm A Bullet Too!|"Provides immunity to contact damage, and dodge rolls deal increased damage to enemies."
Eyepatch.png|Eyepatch|Passive|Hit Harder Less Often|Increases damage but decreases accuracy.
Military Training.png|Military Training|Passive|Hold Facing Enemy|Increases weapon accuracy and reload speed.
Cartographer's Ring.png|Cartographer's Ring|Passive|Some Floors Are Familiar|New floors have a chance to be mapped out.
Ring of Fire Resistance.png|Ring of Fire Resistance|Passive|No Burns|Grants immunity to fire.
Ring of Miserly Protection.png|Ring of Miserly Protection|Passive|Aids The Fiscally Responsible|Grants two heart containers. Disappears upon spending money.
Unity.png|Unity|Passive|Our Powers Combined|Increases damage for each Gun held.
Ring of Chest Vampirism.png|Ring of Chest Vampirism|Passive|Blood From Wood|Breaking chests heals the player.
Cloranthy Ring.png|Cloranthy Ring|Passive|Dodge Power Up|Improves dodging.
Ring of Chest Friendship.png|Ring of Chest Friendship|Passive|Chest Friends Forever|Increases the chance of finding chests.
Ring of Mimic Friendship.png|Ring of Mimic Friendship|Passive|Unlikely Allies|Mimics will not attack the player.
Ring of Triggers.png|Ring of Triggers|Passive|Items == Guns|Using an active item fires the currently held weapon in all directions.
Ring of Ethereal Form.png|Ring of Ethereal Form|Active|Get Ethereal!|"While active, the player is invincible and has flight."
Gundromeda Strain.png|Gundromeda Strain|Passive|All Enemies Weaker!|Decreases health of all enemies encountered.
Broccoli.png|Broccoli|Passive|Makes You Strong|Increases damage.
Crutch.png|Crutch|Passive|You Need It|Causes bullets to slightly curve towards enemies.
Liquid Valkyrie.png|Liquid Valkyrie|Passive|Maximum Pain|Decreases enemy bullet speed.
Bloody Eye.png|Bloody Eye|Passive|Slower Enemy Bullets|Decreases enemy bullet speed.
Gunknight Helmet.png|Gunknight Helmet|Passive|Armor Every Floor|Grants a piece of armor upon pickup and another piece of armor every floor.
Gunknight Greaves.png|Gunknight Greaves|Passive|Armor Every Floor|Grants a piece of armor upon pickup and another piece of armor every floor.
Gunknight Armor.png|Gunknight Armor|Passive|Armor Every Floor|Grants a piece of armor upon pickup and another piece of armor every floor.
Gunknight Gauntlet.png|Gunknight Gauntlet|Passive|Armor Every Floor|Grants a piece of armor upon pickup and another piece of armor every floor.
Amulet of the Pit Lord.png|Amulet of the Pit Lord|Passive|No Fall Damage|Falling into pits no longer deals damage.
Old Knight's Shield.png|Old Knight's Shield|Passive|Heavy With Experience|Grants two pieces of armor.
Old Knight's Helm.png|Old Knight's Helm|Passive|Protects Knowledge|Grants two pieces of armor.
Old Knight's Flask.png|Old Knight's Flask|Active|Heals Per Floor|Heals the player for half a heart upon use. Gains 2 charges each floor.
Old Crest.png|Old Crest|Armor Up|Passive|Grants a piece of armor. Consumed upon taking any damage.
Armor of Thorns.png|Armor of Thorns|Passive|Your Body Is A Weapon|Increases damage dealt by dodge rolling into enemies. Grants two pieces of armor.
Heavy Boots.png|Heavy Boots|Passive|Low Center Of Mass|"Prevents the player from being affected by enemy knockback, gun recoil, and conveyor belts."
Bug Boots.png|Bug Boots|Passive|Yikes!|Dodge rolling leaves a trail of poison creep. Makes the player immune to poison.
Gunboots.png|Gunboots|Passive|They Go Down Well|Dodge rolling fires a spread of five bullets backwards.
Coin Crown.png|Coin Crown|Passive|"Play Well, Get Money"|Increases the chance to find Money.png coins upon completing rooms.
Oiled Cylinder.png|Oiled Cylinder|Passive|Reload Faster|Decreases reload time.
Ice Cube.png|Ice Cube|Passive|Items Recharge While Active|Reduces the cooldown timer of active items.
Rolling Eye.png|Rolling Eye|Passive|Back At You|Rolling through bullets reflects them at enemies.
Cigarettes.png|Cigarettes|Active|Hazardous To Health|Damages the player for half a heart and increases their coolness. Coolness decreases the cooldown of active items and increases luck.
Charm Horn.png|Charm Horn|Active|The Call Of Duty|Charms enemies around the player upon use.
Cog of Battle.png|Cog of Battle|Passive|Active Reload|"When reloading, pressing reload again when the indicator passes a certain mark on the reload bar will instantly reload the weapon, effectively decreasing the reload time."
Metronome.png|Metronome|Passive|Better And Better|Grants a damage bonus for each enemy killed. The bonus is reset if the player takes damage or changes guns.
Honeycomb.png|Honeycomb|Passive|Bee Prepared|Taking damage spawns bees that seek out and damage enemies.
Map.png|Map|Passive|Floor Revealed|Reveals the entire map for the current floor.
Gungeon Blueprint.png|Gungeon Blueprint|Passive|Procedurally Updates|Reveals all floor-maps for the rest of the run.
Sense of Direction.png|Sense of Direction|Active|Surprisingly Rare.|Points in the direction of the floor's exit.
Duct Tape.png|Duct Tape|Active|Friend Of Gunsmiths|Single use. Combines 2 guns by granting one gun the projectiles that the other gun fires.
Gungeon Pepper.png|Gungeon Pepper|Passive|The Heat Is On!|Deals damage to nearby enemies.
Antibody.png|Antibody|Passive|Heals Up|Picking up health has a chance to heal the player for an extra half a heart.
Pink Guon Stone.png|Pink Guon Stone|Passive|Increased Health|"Orbits the player, blocking enemy shots on contact. Grants one extra heart container."
White Guon Stone.png|White Guon Stone|Passive|Kindles Blanks|"Orbits the player, blocking enemy shots on contact. Grants an extra blank per floor."
Orange Guon Stone.png|Orange Guon Stone|Passive|Hot Rock|"Orbits the player, blocking enemy shots on contact. Shoots at enemies."
Clear Guon Stone.png|Clear Guon Stone|Passive|Pure|"Orbits the player, blocking enemy shots on contact. Negates poison damage."
Green Guon Stone.png|Green Guon Stone|Passive|Chance To Heal|"Orbits the player, blocking enemy shots on contact. Chance to heal upon taking damage."
Red Guon Stone.png|Red Guon Stone|Passive|Dodge Up|"Orbits the player, blocking enemy shots on contact. Improves dodging."
Blue Guon Stone.png|Blue Guon Stone|Passive|On My Side|"Orbits the player, blocking enemy shots on contact. Upon taking damage, briefly slows time."
Iron Coin.png|Iron Coin|Active|Valar Morgunis|"3 uses. Upon use, has a chance to kill all enemies in the next room entered. If the effect took place, a note can be found lying on the ground."
Drum Clip.png|Drum Clip|Passive|One Size Fits All|Increases the magazine size of all weapons.
Blood Brooch.png|Blood Brooch|Passive|What Music They Make!|Increases Curse while held. Adds a small chance to heal upon damaging an enemy.
Backup Gun.png|Backup Gun|Passive|Watch Your Back|"With each shot fired, a second bullet will be fired in the opposite direction that the player is aiming."
Sunglasses.png|Sunglasses|Passive|Bright Future|Slows down time and increases dodge power during explosions.
Mimic Tooth Necklace.png|Mimic Tooth Necklace|Passive|Chomp|Every chest is guaranteed to be a Mimic.
Escape Rope.png|Escape Rope|Active|Works Anywhere!|Teleport out of the current room into the shop of the current floor.
Jetpack.png|Jetpack|Active|To Fly|Can be toggled. "While active, the player has increased movement speed and flight, but cannot dodge roll. Passing over puddles of oil will set them on fire."
Wax Wings.png|Wax Wings|Passive|Too Close To The Gun|Grants flight.
Blast Helmet.png|Blast Helmet|Passive|Duck And Cover|Decreases the radius that explosions will hurt the player in.
Monster Blood.png|Monster Blood|Passive|Twist To Open|Taking damage spawns a pool of poison creep. Grants immunity to poison creep.
Nanomachines.png|Nanomachines|Passive|Son|Grants two pieces of armor upon pickup. Grants a piece of armor every 4 times damage is taken.
Seven-Leaf Clover.png|Seven-Leaf Clover|Passive|Lucky!|Increases the quality of chests.
Number 2.png|Number 2|Passive|Sidekick No More|"Boosts stats when alone. Only available in co-op, where The Cultist starts with this item."
Gold Ammolet.png|Gold Ammolet|Passive|Blank Damage Up|Increases blank damage.
Chaos Ammolet.png|Chaos Ammolet|Passive|What Can Will|"Blanks have a chance to poison, freeze, and ignite enemies."
Lodestone Ammolet.png|Lodestone Ammolet|Passive|Blank Knockback Up|Increases the knockback of blanks.
Uranium Ammolet.png|Uranium Ammolet|Passive|Blanks Poison|Blanks have a chance to poison enemies.
Copper Ammolet.png|Copper Ammolet|Passive|Blanks Ignite|Blanks have a chance to ignite enemies.
Frost Ammolet.png|Frost Ammolet|Passive|Chance To Freeze|Blanks have a chance to freeze enemies.
Table Tech Sight.png|Table Tech Sight|Passive|Flip Multiplier|Flipping a table briefly slows down time and triple the player's shots.
Table Tech Money.png|Table Tech Money|Passive|Flip Prosperity|"Flipping a table flips all other tables in the room, and flipping a table has a chance to spawn money."
Table Tech Rocket.png|Table Tech Rocket|Passive|End Table|Flipping a table causes it to launch forward and explode.
Table Tech Rage.png|Table Tech Rage|Passive|Flips Of Fury|Flipping a table briefly increases the player's damage.
Table Tech Blanks.png|Table Tech Blanks|Passive|Flip Clarity|Flipping a table activates a free blank.
Table Tech Stun.png|Table Tech Stun|Passive|Flip Showmanship|Flipping a table briefly stuns nearby enemies.
Heart Holster.png|Heart Holster|Passive|On Your Sleeve|Grants a heart container.
Heart Lunchbox.png|Heart Lunchbox|Passive|Healthy Meal|Grants a heart container.
Heart Locket.png|Heart Locket|Passive|Memento Mori|Grants a heart container.
Heart Bottle.png|Heart Bottle|Passive|Liquid Life|Grants a heart container.
Heart Purse.png|Heart Purse|Passive|Form Begets Function|Grants a heart container.
Ruby Bracelet.png|Ruby Bracelet|Passive|Thrown Guns Explode|Thrown guns will explode.
Sixth Chamber.png|Sixth Chamber|Passive|Blessing Of Kaliber|Increases Coolness proportional to the amount of Curse the player has. Increases Curse.
Busted Television.png|Busted Television|Active|Broken And Heavy|"Upon use, the television is thrown in the direction of the cursor. Dropped upon dodge rolling."
Coolant Leak.png|Coolant Leak|Active|Don't Overheat!|Sprays water forward.
Heart of Ice.png|Heart of Ice|Passive|That's Cold|Grants a heart container. Taking damage releases bouncing ice bullets.
Ancient Hero's Bandana.png|Ancient Hero's Bandana|Passive|Limitless|Quadruples maximum ammo.
Bloodied Scarf.png|Bloodied Scarf|Passive|Blink Away|Replaces the dodge roll with a teleport.
Muscle Relaxant.png|Muscle Relaxant|Passive|Loosen Up|Increases accuracy.
Hip Holster.png|Hip Holster|Passive|Quickdraw|Reloading a weapon fires it for free.
Clone.png|Clone|Passive|The Real Me|"Upon death, the player is revived in the starting room of the first floor, retaining all items and guns."
Sponge.png|Sponge|Passive|Godliness|Removes all liquids near the player.
Gas Mask.png|Gas Mask|Passive|Breathe Deep|Grants immunity to poison.
Hazmat Suit.png|Hazmat Suit|Passive|Safety Protocol|"Grants immunity to fire, poison, and electricity."
Book of Chest Anatomy.png|Book of Chest Anatomy|Passive|Controlled Demolition|Improves the contents of broken chests.
Gun Soul.png|Gun Soul|Passive|YOU DEFEATED|
40px|Shelleton Key|Passive|Locks Are Dead To You|Allows any chest or lock to be opened without using a key. Increases curse while held.
Brick of Cash.png|Brick of Cash|Passive|Secrets Of The Masons|Reveals secret rooms.
Wingman.png|Wingman|Passive|Got Your Back|"Orbits the player, firing rockets at enemies."
Wolf.png|Wolf|Passive|Junior|Chases and bites enemies.
Dog.png|Dog|Passive|Junior II|Follows the player around and occasionally digs up a pickup upon completing a room.
Owl.png|Owl|Passive|Hoots And More|"Follows the player, firing bullets at enemies and occasionally using short-ranged blanks."
Super Space Turtle.png|Super Space Turtle|Passive|Hero From Space|"Follows the player, firing bullets at enemies."
R2G2.png|R2G2|Passive|Gunmech Robot|"Follows the player, firing bullets at enemies."
Badge.png|Badge|Passive|By The Book|"Summons a police officer that follows the player, firing bullets at enemies. Can be talked to. Can die after taking too much damage. (unknown what happens afterwards)"
Space Friend.png|Space Friend|Passive|A Friend From The Space|"Follows the player, firing lasers at enemies and blocking enemy bullets."
Pig.png|Pig|Passive|Shifty|"Upon death, instantly revives the player with full health."
Blank Companion's Ring.png|Blank Companion's Ring|Passive|He Tries|Activates a blank each time an active item is used.
Briefcase of Cash.png|Briefcase of Cash|Passive|Avarice|Grants 250 Money.png and 3 Hegemony Credit.png.
Galactic Medal of Valor.png|Galactic Medal of Valor|Passive|Courage Increased|Deal more damage to Bosses.
Bullet Idol.png|Bullet Idol|Passive|Vengeful Spirit|Deals damage to enemies upon taking damage.
Riddle of Lead.png|Riddle of Lead|Passive|This You Can Trust|"Grants a heart container, fully heals the player, increases dodge roll speed, increases movement speed, and adds a chance to negate damage."
Bracket Key.png|Bracket Key|Active|`debugkill|Deals a large amount of damage to all enemies in a room. Increases Curse.
Elder Blank.png|Elder Blank|Active|Excommunicate Bullets|Activates a blank. Increases curse while held.
Junk.png|Junk|Passive|Next Time Use A Key|Has no effect on its own. Often spawned by destroying chests.
Junk.png|Lies|Passive|Next Time Tell The Truth|No effect.
Spice.png|Spice|Active|A tantalizing cube of power.|"Single use. Increases stats upon use (currently not fully known which stats). Each time a spice cube is used, more spice cubes will spawn in place of items or pickups. After the second spice cube is consumed, consuming any more spice cubes will decrease the player's stats and increase their curse. "
